date,code,name,share_change_100m,share_balance_100m,prev_date,prev_share_balance_100m,status,source,updated_at
20260709,510310.SH,易方达沪深300etf,0.0810,91.7794,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:42+00:00
20260709,510330.SH,华夏沪深300etf,0.1620,75.5035,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:42+00:00
20260709,588000.SH,华夏上证科创板50ETF,4.4100,312.4167,20260708,308.0067,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260710,159919.SZ,嘉实沪深300etf,0.3690,53.8042,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:36+00:00
20260710,510300.SH,华泰柏瑞沪深300etf,-0.5760,171.5719,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:36+00:00
20260710,510310.SH,易方达沪深300etf,-0.0090,91.7704,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:36+00:00
20260710,510330.SH,华夏沪深300etf,0.2790,75.7825,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:36+00:00
20260710,588000.SH,华夏上证科创板50ETF,4.9200,317.3367,20260709,312.4167,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260713,159919.SZ,嘉实沪深300etf,2.2950,56.0992,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:16+00:00
20260713,510300.SH,华泰柏瑞沪深300etf,11.6370,183.2089,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:16+00:00
20260713,510310.SH,易方达沪深300etf,2.5110,94.2814,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:16+00:00
20260713,510330.SH,华夏沪深300etf,1.3230,77.1055,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:36:16+00:00
20260713,588000.SH,华夏上证科创板50ETF,9.4800,326.8167,20260710,317.3367,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260714,159919.SZ,嘉实沪深300etf,0.0450,56.1442,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:43:58+00:00
20260714,510300.SH,华泰柏瑞沪深300etf,1.6110,184.8199,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:43:58+00:00
20260714,510310.SH,易方达沪深300etf,2.3220,96.6034,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:43:58+00:00
20260714,510330.SH,华夏沪深300etf,0.3870,77.4925,,,ok,ths-ifind-command:iwencai:fund,2026-07-15T07:43:58+00:00
20260714,588000.SH,华夏上证科创板50ETF,4.9500,331.7667,20260713,326.8167,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260715,159919.SZ,嘉实沪深300etf,-0.4500,55.6942,,,ok,ths-ifind-command:iwencai:fund,2026-07-16T01:42:21+00:00
20260715,510300.SH,华泰柏瑞沪深300etf,-0.8640,183.9559,,,ok,ths-ifind-command:iwencai:fund,2026-07-16T01:42:21+00:00
20260715,510310.SH,易方达沪深300etf,0.9360,97.5394,,,ok,ths-ifind-command:iwencai:fund,2026-07-16T01:42:21+00:00
20260715,510330.SH,华夏沪深300etf,0.1620,77.6545,,,ok,ths-ifind-command:iwencai:fund,2026-07-16T01:42:21+00:00
20260715,588000.SH,华夏上证科创板50ETF,6.8100,338.5767,20260714,331.7667,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260716,159919.SZ,嘉实沪深300etf,1.1430,56.8372,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:08:55+00:00
20260716,510300.SH,华泰柏瑞沪深300etf,13.0590,197.0149,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:08:55+00:00
20260716,510310.SH,易方达沪深300etf,2.1600,99.6994,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:08:55+00:00
20260716,510330.SH,华夏沪深300etf,1.2420,78.8965,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:08:55+00:00
20260716,588000.SH,华夏上证科创板50ETF,7.8900,346.4667,20260715,338.5767,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260717,159919.SZ,嘉实沪深300etf,5.5530,62.3902,,,ok,ths-ifind-command:iwencai:fund,2026-07-19T23:31:07+00:00
20260717,510300.SH,华泰柏瑞沪深300etf,20.1510,217.1659,,,ok,ths-ifind-command:iwencai:fund,2026-07-19T23:31:07+00:00
20260717,510310.SH,易方达沪深300etf,6.5160,106.2154,,,ok,ths-ifind-command:iwencai:fund,2026-07-19T23:31:07+00:00
